Symbol	BREAST_BT549	BREAST_HS578T	BREAST_MCF7	BREAST_MCF7ADR	BREAST_MDAMB231	BREAST_MDAMB435	BREAST_T47D
THUMPD1	2.395522683	2.192238638	2.60161207	2.753608786	2.291791216	2.334574644	2.542437539
TIAL1	1.793512751	1.687762484	2.066654136	2.080297682	2.248371401	2.208442845	1.750941148
TIMM22	1.871125274	2.220513822	1.579406692	1.768674734	2.087253577	2.01065607	1.910236749
TIMM23	2.772401141	2.440329969	2.556365766	2.582296701	2.794658849	2.788999611	2.71030571
TIMM44	2.41610319	2.497653911	2.142766052	2.225329222	2.285543386	2.261967015	2.078207345
TIMM50	2.756529543	2.765487532	2.571114015	2.510648246	2.805536635	2.781953732	2.368409813
TIMM8A	2.067194848	1.690456887	1.899480157	2.121216966	2.07697333	2.109689317	1.562194175
TIMM9	2.634399087	2.446938182	2.786777518	2.660572518	2.60853008	2.594063599	2.676983117
TIMMDC1	2.737988382	3.151949874	2.940642891	2.927599879	2.653778347	2.615889954	2.975512533
TIPRL	2.475527226	2.327448285	2.070536554	2.301949049	2.144020916	2.210577277	2.33053541
TK1	2.529358555	2.093036119	2.507690085	2.25861032	2.890587108	2.911718532	2.073768848
TKT	3.078928887	3.252453419	3.017442435	3.007779353	3.16971647	3.129651519	2.680407999
TLN1	2.171344194	1.929492377	1.446010304	1.41712749	2.148425989	2.064232879	1.595618979
TM9SF3	2.762882896	2.650177166	2.891652857	2.96009214	2.875988876	2.873247169	3.069767355
TM9SF4	2.359407089	2.580495792	2.349026581	2.3374009	2.481391965	2.456027549	2.421184921
